Year,GSS ID,Region,Gender,Mesothelioma Death Recorded
1968,E12000001,North East,Male,11
1969,E12000001,North East,Male,9
1970,E12000001,North East,Male,14
1971,E12000001,North East,Male,9
1972,E12000001,North East,Male,18
1973,E12000001,North East,Male,16
1974,E12000001,North East,Male,10
1975,E12000001,North East,Male,20
1976,E12000001,North East,Male,29
1977,E12000001,North East,Male,30
1978,E12000001,North East,Male,34
1979,E12000001,North East,Male,35
1980,E12000001,North East,Male,33
1981,E12000001,North East,Male,32
1982,E12000001,North East,Male,39
1983,E12000001,North East,Male,43
1984,E12000001,North East,Male,64
1985,E12000001,North East,Male,63
1986,E12000001,North East,Male,56
1987,E12000001,North East,Male,67
1988,E12000001,North East,Male,79
1989,E12000001,North East,Male,61
1990,E12000001,North East,Male,54
1991,E12000001,North East,Male,79
1992,E12000001,North East,Male,75
1993,E12000001,North East,Male,96
1994,E12000001,North East,Male,84
1995,E12000001,North East,Male,93
1996,E12000001,North East,Male,93
1997,E12000001,North East,Male,108
1998,E12000001,North East,Male,93
1999,E12000001,North East,Male,99
2000,E12000001,North East,Male,106
2001,E12000001,North East,Male,137
2002,E12000001,North East,Male,112
2003,E12000001,North East,Male,103
2004,E12000001,North East,Male,112
2005,E12000001,North East,Male,138
2006,E12000001,North East,Male,96
2007,E12000001,North East,Male,114
2008,E12000001,North East,Male,142
2009,E12000001,North East,Male,132
2010,E12000001,North East,Male,144
2011,E12000001,North East,Male,142
2012,E12000001,North East,Male,142
2013,E12000001,North East,Male,150
2014,E12000001,North East,Male,122
2015,E12000001,North East,Male,145
2016,E12000001,North East,Male,139
2017,E12000001,North East,Male,134
2018,E12000001,North East,Male,123
2019,E12000001,North East,Male,118
2020,E12000001,North East,Male,116
2021,E12000001,North East,Male,101
1968,E12000002,North West,Male,20
1969,E12000002,North West,Male,18
1970,E12000002,North West,Male,31
1971,E12000002,North West,Male,26
1972,E12000002,North West,Male,30
1973,E12000002,North West,Male,29
1974,E12000002,North West,Male,38
1975,E12000002,North West,Male,40
1976,E12000002,North West,Male,41
1977,E12000002,North West,Male,44
1978,E12000002,North West,Male,52
1979,E12000002,North West,Male,57
1980,E12000002,North West,Male,44
1981,E12000002,North West,Male,48
1982,E12000002,North West,Male,37
